격자_ID,따릉이_대여소_개수,지하철역_개수,버스정류장_개수,평균_거치율
83,2,2,2,194.16666666666663
95,1,2,4,70.0
204,1,1,3,0.5208333333333331
224,1,1,6,2.6666666666666665
236,2,1,4,121.14583333333334
262,1,1,2,70.83333333333334
294,2,1,1,48.4375
296,2,1,6,65.40178571428572
301,2,2,7,52.97619047619048
379,2,1,1,50.39351851851852
397,1,1,5,64.16666666666666
475,2,1,2,0.2083333333333333
523,1,1,3,47.549019607843135
550,1,1,4,0.0
633,1,1,2,0.0
696,1,1,2,244.44444444444449
705,1,1,4,16.666666666666664
723,2,1,4,30.0
827,2,1,1,4.722222222222223
858,2,1,2,159.79166666666669
869,2,2,2,89.86111111111111
960,1,1,6,287.96296296296293
979,2,2,5,15.416666666666666
1003,2,2,2,160.9375
1026,2,1,4,263.3333333333333
1052,1,1,1,1.111111111111111
1056,3,1,2,135.1851851851852
1104,1,1,4,112.0
1134,2,1,1,79.58333333333334
1169,1,1,1,248.3333333333333
1256,1,1,2,407.63888888888886
1260,1,1,5,557.2222222222222
1356,2,1,2,72.5
1490,2,2,4,81.92307692307692
1562,1,3,7,57.407407407407405
1627,3,1,4,15.0
1851,1,1,5,342.49999999999994
1872,1,1,3,148.95833333333331
1979,2,1,5,105.6547619047619
2002,2,1,1,25.833333333333336
2008,1,1,5,50.0
2013,1,1,7,36.25
2035,1,1,2,25.0
2036,3,1,1,87.5925925925926
2046,2,1,4,62.91666666666667
2094,2,1,2,5.797101449275362
2106,1,1,2,190.0
2118,1,1,3,4.04040404040404
2295,3,2,1,179.56349206349205
2314,2,1,1,2.916666666666667
2323,1,1,4,20.0
2412,1,1,6,83.7719298245614
2460,3,1,6,97.12962962962962
2469,2,2,11,32.5
2574,2,1,2,116.25
2584,4,1,3,7.083333333333333
2647,1,1,5,83.33333333333334
2655,1,1,1,237.5
2664,2,1,3,21.904761904761905
2816,2,1,7,26.282051282051285
2867,1,1,6,254.90196078431373
2873,2,1,3,150.60185185185185
2949,3,1,2,5.702614379084968
3015,2,1,5,16.875
3057,2,1,5,137.30158730158732
3064,2,1,9,0.0
3136,2,1,5,59.16666666666666
3170,2,1,8,151.05820105820106
3327,1,1,4,525.5555555555555
3385,1,1,9,28.333333333333336
3408,2,1,6,63.958333333333336
3436,3,1,5,10.614035087719298
3509,1,1,3,7.6923076923076925
3564,1,1,3,28.894927536231883
3567,1,1,2,52.864583333333336
3572,2,1,7,15.753205128205128
3605,2,1,2,91.72932330827068
3668,1,2,5,67.70833333333333
3723,1,1,2,19.39102564102564
3740,2,1,4,0.0
3744,2,1,8,25.0
3748,1,1,4,50.83333333333333
3758,3,1,9,76.02941176470587
3802,1,3,2,13.333333333333334
3812,2,1,5,9.166666666666668
3825,3,2,2,6.388888888888888
3829,2,1,6,126.66666666666669
3874,2,3,13,118.74999999999996
3916,1,1,4,300.8333333333333
3958,1,1,9,213.4920634920635
3989,1,2,4,45.0
4006,1,1,4,5.555555555555555
4015,1,1,4,12.499999999999998
4043,1,1,2,30.0
4092,2,1,4,32.11309523809524
4165,1,1,6,11.666666666666668
4219,1,1,4,38.15789473684211
4225,1,1,2,126.25
4246,1,2,7,14.583333333333332
4257,1,1,5,80.55555555555556
4285,2,1,3,20.625
4356,1,1,3,48.33333333333333
4392,1,1,2,270.0
4517,1,1,3,59.16666666666666
4518,2,2,7,7.75
4605,1,1,7,90.47619047619048
4618,2,1,8,9.60591133004926
4761,1,1,5,5.769230769230769
4793,3,1,1,99.375
4900,2,1,2,70.41666666666667
4909,1,1,3,49.16666666666666
4951,1,1,2,33.33333333333333
4992,1,1,2,16.111111111111114
5031,1,2,12,86.66666666666667
5086,1,1,1,54.16666666666666
5109,3,1,6,288.2716049382716
5111,1,1,4,0.8333333333333334
5281,4,1,2,166.66666666666666
5283,1,1,3,49.44444444444444
5384,1,1,4,136.66666666666669
5435,1,1,5,216.66666666666663
5453,2,1,7,82.5
5504,1,1,6,78.33333333333334
5678,3,1,4,101.34920634920634
5685,2,1,5,194.72222222222223
5717,1,1,6,82.8125
5783,2,1,6,3.3424908424908426
5870,2,2,4,98.48484848484848
5967,2,1,3,68.0
6057,2,1,3,28.33333333333333
6124,1,1,3,100.0
6125,2,1,2,73.26388888888889
6224,1,1,4,13.333333333333334
6298,1,1,6,105.83333333333331
6466,2,1,2,114.16666666666666
6512,1,1,1,186.66666666666663
6527,2,1,1,26.458333333333336
6532,3,1,4,81.66666666666667
6557,2,1,3,87.49999999999999
6560,1,1,5,40.833333333333336
6577,1,1,6,40.0
6670,3,1,3,8.095497458242557
6763,1,1,2,60.0
6765,1,1,1,100.0
6809,1,1,3,39.583333333333336
6869,2,1,6,43.910256410256416
6923,1,1,2,127.08333333333331
6979,1,1,4,11.11111111111111
6990,1,2,13,155.83333333333334
7062,2,1,6,8.333333333333334
7113,1,1,6,0.0
7176,4,2,4,0.0
7178,1,1,2,121.66666666666669
7228,4,1,1,58.36538461538461
7273,1,1,4,5.0
7275,1,1,3,14.351851851851851
7283,1,1,4,46.05263157894737
7304,3,1,2,78.14814814814815
7374,3,1,1,54.143518518518526
7466,1,2,5,185.41666666666663
7471,2,1,4,10.0
7534,3,1,2,85.37037037037037
7605,1,1,1,33.33333333333333
7630,1,1,2,140.0
7656,2,1,6,50.00000000000001
7662,3,1,2,115.4807692307692
7733,1,1,5,135.0
7735,1,1,7,120.0
7747,1,2,1,137.5
7786,1,1,2,63.33333333333333
7798,1,1,3,25.833333333333336
7877,2,1,3,206.25
7913,2,1,6,45.41666666666667
7917,1,1,2,10.0
7961,1,1,2,145.83333333333331
8043,1,1,1,10.0
8116,1,1,3,40.909090909090914
8183,2,1,2,126.83333333333331
8191,1,3,12,92.02898550724638
8339,2,2,5,24.166666666666664
8349,1,1,3,25.0
8491,1,1,1,0.9615384615384616
8502,1,2,4,0.0
8528,1,1,4,17.708333333333336
8540,2,1,3,10.208333333333332
8552,1,1,9,20.0
8555,2,1,3,37.77777777777778
8564,1,1,2,232.29166666666663
8569,1,1,6,71.42857142857143
8661,1,2,2,93.33333333333331
8672,2,1,4,139.23076923076923
8809,1,1,7,0.0
8822,1,2,3,6.111111111111112
8824,1,2,3,25.0
8839,1,1,2,20.0
8855,1,2,5,63.25757575757576
8867,1,1,6,0.0
8874,1,1,3,38.54166666666666
8884,2,2,6,125.96153846153848
8972,1,1,2,166.66666666666666
8989,1,1,2,71.078431372549
9003,1,1,7,90.0
9008,1,2,2,206.94444444444449
9016,2,1,4,70.13888888888889
9021,1,1,5,114.44444444444444
9026,2,1,4,30.0
9047,3,1,4,52.93650793650793
9102,1,1,6,15.0
9111,1,1,2,10.0
9114,2,2,6,164.16666666666669
9120,2,2,3,58.22916666666667
9128,1,1,2,195.55555555555557
9134,1,1,4,110.55555555555556
9199,1,1,3,0.0
9282,3,2,4,44.60648148148149
9317,2,1,3,24.166666666666668
9328,3,1,2,78.19444444444444
9331,1,1,2,106.25
9339,1,1,2,90.0
9432,1,1,1,7.333333333333334
9468,1,1,4,7.083333333333333
9489,3,1,3,71.75925925925925
9494,1,1,1,80.0
9682,1,2,1,146.66666666666669
9740,1,1,9,260.0
9804,1,2,3,169.44444444444446
9816,2,1,4,82.91666666666667
9874,1,2,2,87.5
9876,1,1,1,88.33333333333333
9927,1,1,3,47.22222222222221
9952,1,1,2,0.0
10009,2,1,4,91.25
10064,1,1,3,10.0
10071,1,1,5,0.0
10082,3,1,1,5.37037037037037
10084,3,1,1,5.0
